2025-11-13 17:38:17,780 | models.lstm_model | INFO | Training LSTM for horizon 5 days
2025-11-13 17:42:44,950 | models.lstm_model | INFO | Training LSTM for horizon 30 days
2025-11-13 17:46:34,876 | tensorflow | WARNING | 5 out of the last 9 calls to <function TensorFlowTrainer.make_predict_function.<locals>.one_step_on_data_distributed at 0x000001B0807325C0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
2025-11-13 17:46:35,967 | tensorflow | WARNING | 6 out of the last 11 calls to <function TensorFlowTrainer.make_predict_function.<locals>.one_step_on_data_distributed at 0x000001B0807325C0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
2025-11-13 17:46:39,091 | models.arima_model | INFO | ADF statistic=-0.672, p-value=0.8538
2025-11-13 18:26:55,872 | data.data_loader | INFO | Loading AAPL from cache
2025-11-13 18:26:56,622 | data.data_loader | INFO | Loading MSFT from cache
2025-11-13 18:26:56,633 | data.data_loader | INFO | Loading GOOGL from cache
2025-11-13 18:26:56,640 | pipeline | INFO | Processing ticker AAPL
2025-11-13 18:26:57,151 | models.lstm_model | INFO | Training LSTM for horizon 1 days
2025-11-13 18:27:19,097 | h5py._conv | DEBUG | Creating converter from 5 to 3
2025-11-13 18:32:20,511 | models.lstm_model | INFO | Training LSTM for horizon 5 days
2025-11-13 18:34:34,360 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((0, 0, 1, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 18:34:34,376 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((0, 0, 2, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
